證券代碼,年月,目前狀態,上市別,TESG評等公告日,採用永續報告書年度,採用永續報告書是否驗證,SASB主產業,SASB子產業,E_取得碳排相關ISO認證,E_加入國際倡議組織,E_認證_能源管理系統,E_發行綠債及永續債佔資產比%(不含金融業),E_GRI_能源管理揭露度,E_用水回收率%,E_取得用水相關國際認證,E_GRI_用水及廢水管理揭露度,E_認證_環境管理系統,E_GRI_廢棄物管理揭露度,E_GRI_生態影響揭露度,S_GRI_人權及社區關係揭露度,S_認證_資訊安全管理系統,S_GRI_資安及客戶隱私揭露度,S_認證_品質管理系統,S_GRI_員工統計揭露度,S_育嬰留停復職率%(合計),S_育嬰留停留任率%(合計),S_失能風險(三年平均),S_失能揭露,S_認證(職業安全衛生管理系統),S_GRI_員工健康及安全揭露度,S_GRI_員工多元化揭露度,G_GRI_供應鏈管理揭露度,G_GRI_氣候變遷影響揭露度,G_GRI_商業倫理揭露度,G_GRI_競爭行為揭露度,G_GRI_法遵管理揭露度,G_GRI_關鍵事件風險管理揭露度,G_3年內更換會計師事務所_換至非四大,G_3年內有非會計制度變更的財務重編,G_公司治理評鑑等級,G_董事長/總經理遭處分,G_設置永續長,E_score,S_score,G_score,Total_score
2505 國揚,202312,Current ,TSE,20231101,2022,N,公共建設,房屋營造,0,0,0,0,1,0,0,2,0,3,0,0,0,4,0,1,4,3,0,0,0,1,1,2,4,2,0,3,3,4,4,4,4,4,6,14,34,20.16
2506 太設,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,4,0,0,4,0,4,5,4,0,4,4,3,3,3,0,0,0,3,4,4,4,4,4,3,3,4,4,3,4,4,17,28,41,30.38
2509 全坤建,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,3,3,0,0,0,1,0,1,0,3,0,3,3,4,4,4,4,4,2,12,30,16.76
2511 太子,202312,Current ,TSE,20231101,2022,Y,公共建設,不動產,0,0,0,0,3,0,0,4,0,2,0,4,0,4,0,4,4,0,0,4,4,4,2,4,0,3,0,4,4,4,4,2,4,4,9,30,33,25.38
2514 龍邦,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,3,0,0,2,4,0,0,0,0,4,4,2,3,3,0,0,0,2,2,2,4,0,0,3,1,4,4,4,4,4,9,20,30,21.12
2515 中工,202312,Current ,TSE,20231101,2022,Y,公共建設,工程與建造服務,0,5,0,0,4,0,0,0,4,0,5,4,0,0,3,4,3,5,0,0,4,4,3,4,0,0,0,4,4,4,4,1,0,4,18,30,25,24.54
2516 新建,202312,Current ,TSE,20231101,2022,N,公共建設,工程與建造服務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,5,4,4,3,2,3,4,3,4,3,3,4,4,4,4,4,0,25,40,24.3
2520 冠德,202312,Current ,TSE,20231101,2022,Y,公共建設,不動產,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,0,3,0,0,4,4,0,0,4,4,4,4,2,4,4,5,16,34,20.48
2524 京城,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,5,0,2,0,0,3,0,2,0,0,0,0,0,2,3,3,0,0,0,2,1,1,0,0,0,3,3,4,4,4,4,4,12,11,27,18.0
2527 宏璟,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,3,0,0,3,0,2,0,3,0,4,3,2,3,3,0,0,0,2,2,3,4,3,4,3,3,4,4,4,4,4,8,22,40,25.64
