證券代碼,年月,目前狀態,上市別,TESG評等公告日,採用永續報告書年度,採用永續報告書是否驗證,SASB主產業,SASB子產業,E_取得碳排相關ISO認證,E_加入國際倡議組織,E_認證_能源管理系統,E_發行綠債及永續債佔資產比%(不含金融業),E_GRI_能源管理揭露度,E_用水回收率%,E_取得用水相關國際認證,E_GRI_用水及廢水管理揭露度,E_認證_環境管理系統,E_GRI_廢棄物管理揭露度,E_GRI_生態影響揭露度,S_GRI_人權及社區關係揭露度,S_認證_資訊安全管理系統,S_GRI_資安及客戶隱私揭露度,S_認證_品質管理系統,S_GRI_員工統計揭露度,S_育嬰留停復職率%(合計),S_育嬰留停留任率%(合計),S_失能風險(三年平均),S_失能揭露,S_認證(職業安全衛生管理系統),S_GRI_員工健康及安全揭露度,S_GRI_員工多元化揭露度,G_GRI_供應鏈管理揭露度,G_GRI_氣候變遷影響揭露度,G_GRI_商業倫理揭露度,G_GRI_競爭行為揭露度,G_GRI_法遵管理揭露度,G_GRI_關鍵事件風險管理揭露度,G_3年內更換會計師事務所_換至非四大,G_3年內有非會計制度變更的財務重編,G_公司治理評鑑等級,G_董事長/總經理遭處分,G_設置永續長,E_score,S_score,G_score,Total_score
3576 聯合再生,202312,Current ,TSE,20231101,2022,Y,可再生資源與替代能源,太陽能科技與項目開發商,4,0,0,0,4,4,0,4,4,4,0,4,0,4,3,4,3,4,5,4,4,4,3,3,4,0,0,4,2,4,4,4,4,4,24,42,33,31.83
4934 太極,202312,Current ,TSE,20231101,2022,N,可再生資源與替代能源,太陽能科技與項目開發商,0,0,0,0,2,0,0,3,4,3,0,0,0,0,3,2,2,3,3,0,3,2,2,1,3,0,0,2,2,4,4,4,4,4,12,20,28,20.64
5227 立凱-KY,202312,Current ,OTC,20231101,2022,Y,可再生資源與替代能源,燃料電池與工業電池,0,0,4,0,3,4,0,0,4,0,0,0,0,4,4,3,4,4,5,4,3,1,4,3,0,3,4,4,4,4,4,1,4,4,15,36,35,28.22
6125 廣運,202312,Current ,OTC,20231101,2022,N,可再生資源與替代能源,太陽能科技與項目開發商,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,3,4,0,0,1,0,2,0,0,0,2,1,4,4,3,4,4,0,17,24,14.06
6244 茂迪,202312,Current ,OTC,20231101,2022,N,可再生資源與替代能源,太陽能科技與項目開發商,0,0,0,0,4,4,0,3,4,3,0,4,0,3,3,2,3,1,3,0,3,2,4,3,3,4,4,2,2,4,4,3,4,4,18,28,37,28.37
6443 元晶,202312,Current ,TSE,20231101,2022,Y,可再生資源與替代能源,太陽能科技與項目開發商,5,0,0,0,1,3,0,4,4,4,0,0,0,0,3,1,2,3,3,0,4,3,3,4,4,0,0,4,4,4,4,3,4,4,21,22,35,27.24
6477 安集,202312,Current ,TSE,20231101,2022,N,可再生資源與替代能源,太陽能科技與項目開發商,0,0,0,0,2,0,0,2,4,3,5,4,0,3,3,1,1,3,5,4,4,1,3,4,0,3,4,2,1,4,4,3,4,0,16,32,29,25.11
6538 倉和,202312,Current ,OTC,20231101,2022,N,可再生資源與替代能源,太陽能科技與項目開發商,0,0,0,0,1,0,0,2,4,2,0,0,0,3,3,2,4,4,3,0,0,2,3,1,0,3,4,2,2,4,4,3,4,4,9,24,31,21.76
6790 永豐實,202312,Current ,TSE,20231101,2022,Y,可再生資源與替代能源,紙漿與紙製品,4,0,4,0,4,4,0,4,0,0,0,4,0,4,3,4,1,1,3,0,4,3,4,3,0,0,0,4,4,4,4,3,4,4,20,31,30,26.72
6806 森崴能源,202312,Current ,TSE,20231101,2022,Y,可再生資源與替代能源,太陽能科技與項目開發商,0,0,0,0,4,0,0,0,0,0,0,0,0,4,3,4,3,3,3,0,0,3,2,4,4,4,0,4,4,4,4,1,4,4,4,25,37,22.81
6873 泓德能源,202312,Current ,TSE,20231101,2022,Y,可再生資源與替代能源,太陽能科技與項目開發商,4,0,0,0,3,0,0,3,0,2,5,4,0,4,3,4,4,1,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,17,36,44,32.79
9958 世紀鋼,202312,Current ,TSE,20231101,2022,Y,可再生資源與替代能源,風力科技與項目開發商,4,0,4,0,4,0,0,0,0,4,0,0,0,4,4,3,2,3,5,4,3,4,4,3,4,4,4,4,4,4,0,4,4,4,16,36,39,30.29
2704 國賓,202312,Current ,TSE,20231101,2022,Y,服務,旅館與住宿,5,5,4,0,4,5,5,3,4,4,5,5,5,0,2,3,1,4,4,0,3,3,2,1,4,4,4,4,4,4,4,1,4,4,44,32,38,36.44
2707 晶華,202312,Current ,TSE,20231101,2022,Y,服務,旅館與住宿,5,5,5,0,4,5,5,4,0,4,0,4,5,0,3,3,1,0,1,4,4,4,2,2,4,0,0,4,4,4,4,2,4,4,37,31,32,32.62
2712 遠雄來,202312,Current ,TSE,20231101,2021,N,服務,旅館與住宿,4,5,4,0,1,0,0,0,0,0,0,4,0,0,0,4,4,0,1,4,0,1,3,2,4,2,0,4,4,4,4,2,4,4,14,21,34,23.36
2722 夏都,202312,Current ,TSE,20231101,2022,N,服務,旅館與住宿,4,0,0,0,2,3,0,1,0,0,0,0,0,4,3,4,3,3,4,0,0,1,2,2,4,0,0,4,4,4,4,3,4,4,10,24,33,23.62
2739 寒舍,202312,Current ,TSE,20231101,2022,Y,服務,旅館與住宿,4,0,0,0,3,3,0,3,0,3,5,4,0,4,3,1,3,3,4,0,0,3,4,4,0,4,4,3,1,4,4,3,4,4,21,29,35,29.04
2748 雲品,202312,Current ,TSE,20231101,2022,Y,服務,旅館與住宿,4,0,0,0,1,0,0,1,0,1,5,0,0,0,3,1,3,0,1,0,4,3,1,1,3,0,0,3,3,4,4,4,4,4,12,16,30,19.32
3093 港建*,202312,Current ,OTC,20231101,2022,N,服務,專業與商業服務,4,0,0,0,3,0,0,3,0,3,0,4,0,4,3,3,3,3,4,0,3,3,4,3,3,4,4,3,3,4,4,4,4,4,13,34,40,31.18
3587 閎康,202312,Current ,OTC,20231101,2022,Y,服務,專業與商業服務,0,0,0,0,2,0,0,3,4,4,0,4,0,0,4,4,3,4,1,0,3,4,4,3,0,2,0,4,4,4,4,3,4,4,13,31,32,27.34
5364 力麗店,202312,Current ,OTC,20231101,2021,N,服務,旅館與住宿,4,0,4,0,4,5,0,3,0,4,5,0,0,4,4,4,3,3,5,4,3,3,3,4,4,4,4,4,4,4,4,3,4,4,29,36,43,36.56
5701 劍湖山,202312,Current ,OTC,20231101,2022,Y,服務,休閒設施,4,5,4,0,4,5,0,4,4,3,0,4,5,0,2,3,4,4,4,0,4,3,3,4,0,0,0,4,4,4,4,1,4,4,33,36,29,33.24
5703 亞都,202312,Current ,OTC,20231101,2022,Y,服務,旅館與住宿,4,5,4,0,4,0,0,4,4,4,0,4,5,4,2,4,4,4,4,0,3,4,4,4,4,4,4,4,4,4,4,2,4,4,29,42,42,39.14
5905 南仁湖,202312,Current ,OTC,20231101,2022,N,服務,休閒設施,0,0,4,0,3,0,0,2,4,2,0,0,0,4,3,3,4,4,5,4,3,3,3,2,3,0,0,3,3,4,4,3,4,4,15,36,30,29.58
6146 耕興,202312,Current ,OTC,20231101,2022,N,服務,專業與商業服務,0,0,0,0,4,0,0,4,0,0,0,0,0,0,2,4,3,3,2,0,4,4,0,1,4,0,0,4,4,4,4,4,4,4,8,22,33,22.22
6184 大豐電,202312,Current ,TSE,20231101,2022,Y,服務,媒體與娛樂,0,0,0,0,3,5,0,1,4,1,0,0,0,4,4,3,3,3,5,4,0,3,3,2,3,3,0,3,3,4,4,4,4,4,14,32,34,28.64
6464 台數科,202312,Current ,TSE,20231101,2022,Y,服務,媒體與娛樂,0,0,0,0,3,0,0,3,4,3,5,4,0,4,2,3,4,4,5,4,4,3,4,2,3,3,4,3,1,4,4,4,4,4,18,41,36,34.44
6856 鑫傳,202312,Current ,OTC,20231101,2021,Y,服務,媒體與娛樂,0,0,0,0,3,4,0,3,4,3,0,4,0,4,4,3,4,3,5,0,3,3,3,3,3,3,0,3,3,4,4,3,4,4,17,36,34,31.22
8450 霹靂,202312,Current ,OTC,20231101,2022,N,服務,媒體與娛樂,4,5,4,0,4,5,0,0,4,0,0,0,0,0,4,1,4,4,1,4,4,3,2,2,4,0,0,4,4,4,4,2,4,4,26,27,32,28.28
9917 中保科,202312,Current ,TSE,20231101,2022,Y,服務,專業與商業服務,4,5,0,0,3,5,0,3,4,3,5,4,0,4,3,1,3,3,2,0,4,3,4,3,3,2,4,3,3,4,4,2,4,4,32,31,36,32.72
9925 新保,202312,Current ,TSE,20231101,2022,Y,服務,專業與商業服務,0,0,4,0,2,0,0,0,4,3,0,3,0,4,4,3,3,3,4,0,3,3,3,3,3,3,4,3,3,4,4,3,4,4,13,33,38,30.1
9943 好樂迪,202312,Current ,TSE,20231101,2020,Y,服務,休閒設施,0,0,0,0,3,0,0,3,4,0,0,0,0,4,3,3,3,3,4,0,3,1,2,1,0,0,0,3,3,4,4,3,0,4,10,26,22,21.28
2801 彰銀,202312,Current ,TSE,20231101,2022,Y,金融,商業銀行,0,0,0,0,1,0,0,0,4,1,0,3,0,0,4,1,4,0,4,0,0,1,3,2,0,2,0,3,0,4,4,3,4,4,6,20,26,21.14
2809 京城銀,202312,Current ,TSE,20231101,2022,Y,金融,商業銀行,0,0,0,0,3,3,0,4,4,3,0,0,0,0,2,3,3,4,4,0,3,3,0,2,4,2,4,4,4,4,4,3,4,4,17,22,39,29.39
2812 台中銀,202312,Current ,TSE,20231101,2022,Y,金融,商業銀行,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,3,3,1,4,0,3,3,1,3,0,0,3,3,4,4,4,0,4,0,26,26,22.88
2816 旺旺保,202312,Current ,TSE,20231101,2022,Y,金融,保險,0,0,0,0,4,0,0,4,0,4,5,5,0,4,3,3,4,4,2,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,17,36,44,37.48
2820 華票,202312,Current ,TSE,20231101,2022,Y,金融,商業銀行,0,0,0,0,4,5,0,4,0,4,0,4,0,4,4,4,3,3,2,0,0,4,4,4,4,5,4,4,4,4,4,4,4,4,17,32,45,36.31
2832 台產,202312,Current ,TSE,20231101,2022,Y,金融,保險,4,0,4,0,4,0,0,4,4,4,0,0,0,0,3,4,3,3,4,0,4,4,0,1,4,0,0,4,4,4,4,3,4,4,24,25,32,28.17
2834 臺企銀,202312,Current ,TSE,20231101,2022,Y,金融,商業銀行,0,0,0,0,3,0,0,3,4,3,5,4,0,4,3,3,1,3,5,0,0,3,4,3,3,3,0,3,3,4,4,4,4,4,18,30,35,30.91
2836 高雄銀,202312,Current ,TSE,20231101,2022,Y,金融,商業銀行,0,0,0,0,0,0,0,2,4,4,0,0,0,0,3,4,3,3,4,0,3,3,4,4,0,2,4,4,4,4,4,4,4,4,10,27,38,30.13
2838 聯邦銀,202312,Current ,TSE,20231101,2022,Y,金融,商業銀行,4,0,4,0,2,0,0,2,4,3,0,0,0,0,2,3,1,3,2,0,4,3,1,1,3,3,4,3,3,4,4,3,4,4,19,19,36,26.99
2845 遠東銀,202312,Current ,TSE,20231101,2022,Y,金融,商業銀行,4,0,0,0,3,3,0,3,0,3,0,4,0,4,4,3,4,4,4,4,4,3,4,3,3,4,4,3,3,4,4,2,4,4,16,42,38,37.0
2849 安泰銀,202312,Current ,TSE,20231101,2022,Y,金融,商業銀行,0,0,0,0,1,5,0,1,4,2,0,4,0,4,2,1,3,3,0,4,4,1,4,3,3,3,4,3,1,4,4,3,4,4,13,30,36,30.78
2850 新產,202312,Current ,TSE,20231101,2022,Y,金融,保險,0,0,0,0,3,5,0,3,4,3,0,4,0,4,3,3,4,3,4,0,0,3,4,3,3,4,4,3,3,4,4,3,4,4,18,32,39,33.61
2851 中再保,202312,Current ,TSE,20231101,2022,Y,金融,保險,0,0,0,0,3,0,0,3,4,3,0,0,0,0,4,3,3,3,5,0,0,3,2,2,3,3,4,3,3,4,4,3,4,4,13,23,37,28.38
2852 第一保,202312,Current ,TSE,20231101,2022,Y,金融,保險,0,5,0,0,4,0,0,4,0,4,5,4,0,4,2,4,1,3,4,0,4,4,4,4,4,4,4,4,4,4,4,2,4,4,22,34,42,36.32
2855 統一證,202312,Current ,TSE,20231101,2022,Y,金融,投資銀行與經紀商,5,0,0,0,3,4,0,0,0,0,0,0,0,0,2,4,3,0,5,4,0,0,3,4,0,0,0,4,4,4,4,2,4,4,12,21,30,24.15
2867 三商壽,202312,Current ,TSE,20231101,2022,Y,金融,保險,0,0,0,0,4,0,0,4,4,4,0,0,0,0,2,3,3,3,4,0,4,3,3,3,0,0,0,4,4,4,4,4,4,4,16,25,31,26.74
2880 華南金,202312,Current ,TSE,20231101,2022,Y,金融,商業銀行,0,0,4,0,1,0,0,3,4,3,0,4,0,4,4,3,4,4,1,0,4,3,3,3,3,2,4,3,3,4,4,4,4,4,15,34,38,33.6
2881 富邦金,202312,Current ,TSE,20231101,2022,Y,金融,保險,4,0,4,0,4,0,0,4,4,4,0,0,0,0,4,3,1,3,5,0,4,4,0,1,4,0,0,4,4,4,4,1,4,4,24,24,30,26.82
2882 國泰金,202312,Current ,TSE,20231101,2022,Y,金融,保險,4,0,0,0,1,0,0,1,4,3,0,3,0,4,4,3,4,3,1,4,0,3,2,1,3,3,4,3,3,4,4,2,4,4,13,31,35,30.72
2883 凱基金,202312,Current ,TSE,20231101,2022,Y,金融,保險,0,0,0,0,3,0,0,3,4,3,0,4,0,4,4,3,4,3,2,0,4,3,4,3,3,3,4,3,3,4,4,3,4,4,13,35,38,33.77
2884 玉山金,202312,Current ,TSE,20231101,2022,Y,金融,商業銀行,0,0,4,0,0,0,0,3,4,3,0,0,0,0,2,3,3,4,2,0,3,3,2,1,3,0,0,3,3,4,4,4,4,4,14,22,30,24.8
2885 元大金,202312,Current ,TSE,20231101,2022,Y,金融,投資銀行與經紀商,0,0,0,0,1,0,0,1,0,1,0,3,0,0,2,3,4,3,2,0,0,1,3,1,0,0,0,3,3,4,4,2,4,4,3,21,25,20.72
2886 兆豐金,202312,Current ,TSE,20231101,2022,Y,金融,商業銀行,4,5,0,0,4,0,0,4,4,4,5,4,5,0,2,4,4,3,0,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,30,38,43,39.39
2887 台新金,202312,Current ,TSE,20231101,2022,Y,金融,商業銀行,0,0,0,0,4,0,0,4,4,4,5,0,0,4,4,4,1,4,1,4,0,4,4,4,4,4,4,4,4,4,4,3,4,4,21,30,43,35.03
2888 新光金,202312,Current ,TSE,20231101,2022,Y,金融,保險,0,0,0,0,0,0,0,0,0,0,5,5,0,4,2,3,4,4,4,0,0,1,4,4,4,4,4,4,4,4,4,3,4,4,5,31,43,33.52
2889 國票金,202312,Current ,TSE,20231101,2022,Y,金融,商業銀行,4,0,0,0,4,3,0,3,0,4,0,0,0,4,2,4,4,3,2,0,0,4,3,4,4,2,4,4,4,4,4,2,4,4,18,26,40,31.62
2890 永豐金,202312,Current ,TSE,20231101,2022,Y,金融,商業銀行,0,0,0,0,1,0,0,3,0,3,0,0,0,0,0,3,3,4,5,4,0,3,2,1,3,3,4,3,3,4,4,4,4,0,7,24,33,26.19
2891 中信金,202312,Current ,TSE,20231101,2022,Y,金融,商業銀行,4,0,0,0,3,0,0,3,4,3,0,4,0,4,2,3,1,3,1,4,3,3,2,2,0,3,0,3,3,4,4,3,4,4,17,30,30,28.44
2892 第一金,202312,Current ,TSE,20231101,2022,Y,金融,商業銀行,4,0,0,0,2,0,0,4,0,4,0,0,0,0,3,4,3,4,4,0,0,4,3,1,0,2,0,5,4,4,4,3,0,4,14,25,27,24.62
2897 王道銀行,202312,Current ,TSE,20231101,2022,Y,金融,商業銀行,5,0,5,0,3,4,0,4,4,4,0,0,0,0,3,3,4,3,1,4,4,4,2,2,4,0,0,4,4,4,4,2,4,4,29,28,32,30.0
2905 三商,202312,Current ,TSE,20231101,2022,Y,金融,保險,0,0,0,0,3,0,0,3,0,3,0,4,0,0,0,3,3,4,4,0,0,3,4,3,3,4,4,3,3,4,4,3,4,4,9,25,39,29.66
5864 致和證,202312,Current ,OTC,20231101,2022,Y,金融,投資銀行與經紀商,0,0,0,0,4,0,0,4,0,4,0,0,0,4,3,4,2,0,4,0,0,3,3,2,0,0,0,3,4,4,4,4,4,4,12,23,29,24.5
5871 中租-KY,202312,Current ,TSE,20231101,2022,Y,金融,抵押融資,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,3,3,4,1,4,0,2,4,3,0,0,0,4,4,4,4,3,4,4,5,25,30,24.95
5876 上海商銀,202312,Current ,TSE,20231101,2022,Y,金融,商業銀行,0,0,0,0,2,0,0,4,0,3,0,0,0,2,0,1,1,4,0,4,0,2,3,2,0,3,3,2,1,4,4,3,4,4,9,17,30,22.15
5878 台名,202312,Current ,OTC,20231101,2022,Y,金融,保險,0,0,0,0,2,0,0,0,0,3,0,0,0,2,0,2,3,3,5,4,0,2,1,2,0,0,0,2,1,4,4,2,4,4,5,22,23,20.43
5880 合庫金,202312,Current ,TSE,20231101,2022,Y,金融,商業銀行,0,0,0,0,4,0,0,4,0,3,0,0,0,4,0,4,3,3,5,4,0,2,4,2,0,0,0,4,4,4,4,4,4,4,11,29,30,27.31
6005 群益證,202312,Current ,TSE,20231101,2022,Y,金融,投資銀行與經紀商,0,0,5,0,2,0,0,5,0,4,0,0,5,4,0,4,3,1,4,0,0,4,1,4,0,3,4,3,4,4,4,2,4,4,16,26,36,29.5
6015 宏遠證,202312,Current ,OTC,20231101,2022,Y,金融,投資銀行與經紀商,0,0,0,0,2,0,0,0,0,3,0,4,0,2,4,2,2,2,4,0,0,1,3,3,0,0,0,3,2,4,4,2,4,4,5,24,26,22.66
6016 康和證,202312,Current ,OTC,20231101,2022,Y,金融,投資銀行與經紀商,0,0,0,0,0,0,0,4,0,4,0,0,5,4,4,3,4,3,4,0,0,3,4,3,0,4,4,3,4,4,4,1,4,4,8,34,35,31.35
6020 大展證,202312,Current ,OTC,20231101,2022,Y,金融,投資銀行與經紀商,0,0,0,0,4,0,0,4,0,3,5,4,0,2,4,1,2,2,0,4,0,2,2,3,0,0,0,2,0,4,4,2,4,4,16,23,23,22.16
6021 美好證,202312,Current ,OTC,20231101,2022,Y,金融,投資銀行與經紀商,0,0,0,0,5,0,0,5,0,4,5,5,0,4,4,3,2,4,2,0,0,4,4,5,5,5,4,4,4,4,4,4,4,4,19,32,47,37.49
6023 元大期,202312,Current ,OTC,20231101,2022,Y,金融,投資銀行與經紀商,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,2,4,2,1,4,0,3,3,3,0,0,0,4,4,4,4,2,4,4,2,23,29,23.3
6024 群益期,202312,Current ,TSE,20231101,2022,Y,金融,投資銀行與經紀商,0,0,0,0,2,5,0,4,0,4,5,4,0,2,0,2,3,1,4,0,0,3,3,4,5,3,3,2,2,4,4,4,4,4,20,22,39,29.75
6026 福邦證,202312,Current ,OTC,20231101,2022,Y,金融,投資銀行與經紀商,0,0,0,0,4,0,0,2,0,3,0,4,0,0,4,1,4,4,1,0,0,0,0,2,0,3,3,2,2,4,4,2,4,4,9,18,30,22.56
6592 和潤企業,202312,Current ,TSE,20231101,2022,Y,金融,消費者金融,0,0,0,0,4,0,0,5,0,4,0,4,5,4,3,4,4,2,2,0,0,4,4,2,5,4,4,3,4,4,4,4,4,4,13,36,42,36.06
9941 裕融,202312,Current ,TSE,20231101,2022,Y,金融,消費者金融,0,0,0,0,4,0,0,0,0,0,0,0,5,4,0,4,2,0,4,0,0,4,4,3,0,0,0,3,4,4,4,3,4,4,4,27,29,25.18
1560 中砂,202312,Current ,TSE,20231101,2022,N,科技與通訊,半導體,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,8,20,10.64
1582 信錦,202312,Current ,TSE,20231101,2022,N,科技與通訊,半導體,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,2,2,2,4,0,0,1,2,1,0,3,0,2,2,4,4,1,4,4,3,15,25,15.92
1611 中電,202312,Current ,TSE,20231101,2022,N,科技與通訊,半導體,0,0,0,0,4,0,0,0,5,0,0,4,0,4,4,3,1,4,5,4,0,3,3,4,0,4,4,3,4,4,4,2,0,4,9,35,33,28.0
1815 富喬,202312,Current ,OTC,20231101,2022,N,科技與通訊,硬體,0,0,5,0,4,0,0,4,0,0,0,0,5,4,4,4,4,3,5,4,0,4,4,4,0,4,0,4,4,4,4,2,4,4,13,41,34,31.62
2301 光寶科,202312,Current ,TSE,20231101,2022,Y,科技與通訊,硬體,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,12,20,12.16
2303 聯電,202312,Current ,TSE,20231101,2022,Y,科技與通訊,半導體,4,0,0,0,2,0,0,3,0,2,0,0,0,0,4,2,2,3,4,0,0,0,0,1,3,0,0,2,3,4,4,2,4,4,11,15,27,18.6
2305 全友,202312,Current ,TSE,20231101,2022,N,科技與通訊,硬體,5,5,4,5,4,4,5,4,4,4,5,4,5,0,4,3,3,1,4,0,4,4,2,4,4,4,4,4,4,4,4,1,4,4,49,34,41,40.26
2308 台達電,202312,Current ,TSE,20231101,2022,Y,科技與通訊,硬體,4,5,4,0,3,5,0,4,4,3,0,0,0,4,0,4,4,4,1,0,4,4,4,4,4,3,4,4,4,4,4,3,4,4,32,29,42,34.66
2312 金寶,202312,Current ,TSE,20231101,2022,Y,科技與通訊,電子製造服務與原廠設計製造,0,0,0,0,4,0,0,3,4,3,5,4,0,3,3,3,2,3,5,0,0,3,3,3,3,4,3,2,3,4,4,4,4,4,19,29,38,30.02
2313 華通,202312,Current ,TSE,20231101,2022,Y,科技與通訊,硬體,4,0,0,0,3,0,0,3,0,3,0,4,0,3,4,3,2,3,4,0,5,3,3,3,3,4,3,2,3,4,4,4,4,4,13,34,38,30.48
2314 台揚,202312,Current ,TSE,20231101,2022,N,科技與通訊,硬體,0,0,0,0,2,0,0,0,4,3,0,0,0,0,0,3,2,3,1,0,4,3,1,2,3,0,0,2,3,4,4,3,4,4,9,17,29,19.64
2317 鴻海,202312,Current ,TSE,20231101,2022,Y,科技與通訊,電子製造服務與原廠設計製造,5,5,4,0,3,5,5,4,4,0,0,0,0,4,4,2,2,3,2,0,4,3,0,1,0,0,0,4,4,4,4,1,4,4,35,24,26,27.4
2323 中環,202312,Current ,TSE,20231101,2022,N,科技與通訊,硬體,4,0,4,0,4,0,0,0,4,4,0,0,0,0,3,4,4,0,4,0,4,4,3,2,4,0,4,4,4,4,4,2,4,4,20,26,36,28.36
2324 仁寶,202312,Current ,TSE,20231101,2022,Y,科技與通訊,電子製造服務與原廠設計製造,4,5,0,0,3,0,0,2,4,3,0,3,0,0,3,2,4,0,1,4,4,1,3,2,3,2,0,2,1,4,4,4,4,4,21,25,30,25.94
2327 國巨,202312,Current ,TSE,20231101,2022,Y,科技與通訊,半導體,4,0,4,0,2,5,0,2,4,2,0,3,0,0,3,2,4,0,4,4,4,1,3,1,3,2,0,0,0,4,4,4,4,4,23,28,26,26.04
2329 華泰,202312,Current ,TSE,20231101,2022,Y,科技與通訊,半導體,4,0,0,0,2,5,0,3,0,2,0,0,0,0,0,2,3,4,2,0,0,2,2,2,3,3,3,2,3,4,4,3,4,4,16,15,35,22.84
2330 台積電,202312,Current ,TSE,20231101,2022,Y,科技與通訊,半導體,5,0,0,0,2,0,0,0,4,2,0,0,0,0,4,3,2,3,2,4,4,3,2,2,4,0,0,4,4,4,4,2,4,4,13,27,32,25.54
2331 精英,202312,Current ,TSE,20231101,2022,Y,科技與通訊,硬體,0,0,0,0,4,0,0,3,4,3,5,4,0,3,3,3,2,3,1,0,0,3,3,3,3,4,3,2,3,4,4,3,4,4,19,25,37,28.12
2332 友訊,202312,Current ,TSE,20231101,2022,Y,科技與通訊,硬體,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,2,4,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,14,20,12.92
2337 旺宏,202312,Current ,TSE,20231101,2022,Y,科技與通訊,半導體,5,0,4,0,4,5,0,0,0,0,0,0,0,4,4,3,1,1,4,0,4,4,0,1,0,2,0,4,4,4,4,2,4,4,18,25,29,24.84
2338 光罩,202312,Current ,TSE,20231101,2022,Y,科技與通訊,半導體,4,0,0,0,4,0,0,4,4,4,0,4,0,4,0,4,4,1,2,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,20,27,44,31.78
2340 台亞,202312,Current ,TSE,20231101,2022,Y,科技與通訊,半導體,4,0,4,0,2,5,0,0,0,0,0,0,0,0,4,2,4,4,4,4,4,1,3,1,0,0,0,2,0,4,4,3,4,4,15,30,22,23.36
2344 華邦電,202312,Current ,TSE,20231101,2022,Y,科技與通訊,半導體,4,0,0,0,3,5,0,4,4,4,0,0,0,0,0,4,4,4,4,0,4,3,4,4,4,4,0,4,4,4,4,2,4,4,24,27,38,30.46
2345 智邦,202312,Current ,TSE,20231101,2022,Y,科技與通訊,硬體,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,2,3,4,0,0,1,2,1,3,0,0,2,3,4,4,3,4,4,4,14,28,16.92
2349 錸德,202312,Current ,TSE,20231101,2022,N,科技與通訊,硬體,4,0,4,0,4,5,0,3,0,3,0,0,0,0,0,4,4,4,4,0,4,4,3,4,0,4,4,4,4,4,4,1,4,0,23,27,33,28.32
2351 順德,202312,Current ,TSE,20231101,2022,Y,科技與通訊,半導體,4,0,0,0,3,0,5,4,0,2,0,4,5,4,3,3,3,4,4,0,0,4,4,4,0,2,0,4,4,4,4,1,4,4,18,38,31,30.54
2352 佳世達,202312,Current ,TSE,20231101,2022,Y,科技與通訊,硬體,4,0,0,0,4,0,0,4,4,4,0,4,0,4,4,4,3,4,2,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,20,33,44,34.06
2353 宏碁,202312,Current ,TSE,20231101,2022,Y,科技與通訊,硬體,0,0,0,0,4,0,0,2,4,2,0,0,0,0,4,2,4,3,4,4,4,0,0,2,0,0,0,2,3,4,4,3,4,4,12,25,26,22.26
2354 鴻準,202312,Current ,TSE,20231101,2022,Y,科技與通訊,硬體,0,0,0,0,2,0,0,2,4,2,0,0,0,0,3,2,4,3,1,4,0,2,3,1,0,0,0,2,1,4,4,4,4,4,10,22,24,19.88
2355 敬鵬,202312,Current ,TSE,20231101,2022,N,科技與通訊,硬體,4,0,0,0,3,0,0,0,4,3,0,0,0,0,4,3,3,4,5,4,0,3,0,1,3,0,0,2,3,4,4,4,4,4,14,26,29,24.26
2356 英業達,202312,Current ,TSE,20231101,2022,Y,科技與通訊,電子製造服務與原廠設計製造,0,0,4,0,2,0,0,4,4,4,0,4,0,0,4,1,4,4,4,0,4,4,0,3,0,3,0,4,1,4,4,1,4,4,18,29,28,25.98
2357 華碩,202312,Current ,TSE,20231101,2022,Y,科技與通訊,硬體,4,0,0,0,2,0,0,4,4,4,0,0,0,4,4,3,3,4,4,0,4,3,3,4,0,4,4,4,1,4,4,1,4,4,18,32,34,29.4
2360 致茂,202312,Current ,TSE,20231101,2022,Y,科技與通訊,半導體,0,0,4,0,3,0,0,2,4,3,0,4,0,3,0,3,3,4,1,0,4,3,3,3,3,2,0,2,3,4,4,4,4,4,16,28,33,27.02
2362 藍天,202312,Current ,TSE,20231101,2022,Y,科技與通訊,硬體,0,0,0,0,3,0,0,3,4,2,0,3,0,3,4,3,1,4,1,0,0,3,3,3,3,3,3,2,3,4,4,4,4,4,12,25,37,26.44
2363 矽統,202312,Current ,TSE,20231101,2022,N,科技與通訊,半導體,0,0,0,0,1,0,0,2,4,2,0,0,0,0,4,2,2,3,4,0,4,1,3,2,0,3,3,2,3,4,4,3,4,4,9,23,32,23.06
