證券代碼,年月,目前狀態,上市別,TESG評等公告日,採用永續報告書年度,採用永續報告書是否驗證,SASB主產業,SASB子產業,E_取得碳排相關ISO認證,E_加入國際倡議組織,E_認證_能源管理系統,E_發行綠債及永續債佔資產比%(不含金融業),E_GRI_能源管理揭露度,E_用水回收率%,E_取得用水相關國際認證,E_GRI_用水及廢水管理揭露度,E_認證_環境管理系統,E_GRI_廢棄物管理揭露度,E_GRI_生態影響揭露度,S_GRI_人權及社區關係揭露度,S_認證_資訊安全管理系統,S_GRI_資安及客戶隱私揭露度,S_認證_品質管理系統,S_GRI_員工統計揭露度,S_育嬰留停復職率%(合計),S_育嬰留停留任率%(合計),S_失能風險(三年平均),S_失能揭露(Y/N),S_失能揭露,S_認證(職業安全衛生管理系統),S_GRI_員工健康及安全揭露度,S_GRI_員工多元化揭露度,G_GRI_供應鏈管理揭露度,G_GRI_氣候變遷影響揭露度,G_GRI_商業倫理揭露度,G_GRI_競爭行為揭露度,G_GRI_法遵管理揭露度,G_GRI_關鍵事件風險管理揭露度,G_3年內更換會計師事務所_換至非四大(Y/N),G_3年內更換會計師事務所_換至非四大,G_3年內有非會計制度變更的財務重編(Y/N),G_3年內有非會計制度變更的財務重編,G_公司治理評鑑等級,G_董事長/總經理遭處分(Y/N),G_董事長/總經理遭處分,G_設置永續長(Y/N),G_設置永續長
1316 上曜,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,4,0,0,1.5,0,2.5,2,2.5,0,0.5,0,2,66.67,66.67,0,Y,1,0,3,3,5,0.5,1.5,0.5,0.5,1,N,1,N,1,5,N,1,Y,1
1437 勤益控,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產服務,0,0,0,0,1.5,0,0,0,1,0,0,0,0,0.5,1,3,66.67,66.67,0,N,0,0,1,1,1.5,0.5,0,0,0.5,1.5,N,1,N,1,4,N,1,Y,1
1442 名軒,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,66.67,66.67,0,N,0,0,0.5,0,0.5,0,1,0,0.5,1.5,N,1,N,1,5,N,1,Y,1
1513 中興電,202312  ,Current ,TSE,20231101,2022,N,公共建設,工程與建造服務,0,0,0,0,2,0,0,2.5,1,2.5,0,0,1,0,2.5,3,100,66.67,0,N,0,1,6,1.5,4,0,1.5,0,0.5,1.5,N,1,N,1,6,Y,0,Y,1
1785 光洋科,202312  ,Current ,OTC,20231101,2022,Y,公共建設,廢棄物管理,2,0,3,3.0815,0,2.22,0,0,1,5,0,0,1,1,2.5,2,42.86,100,0.26,Y,1,3,10,0,1,0,1,0,0,3,N,1,N,1,2,N,1,Y,1
1808 潤隆,202312  ,Current ,TSE,20231101,2022,N,公共建設,房屋營造,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,2.5,100,100,0,N,0,0,6,0,2.5,0.5,1.5,0,0.5,1.5,N,1,N,1,4,N,1,Y,1
2013 中鋼構,202312  ,Current ,TSE,20231101,2022,N,公共建設,工程與建造服務,1,0,1,0,1.5,10.74,0,1.5,1,2,0.5,1.5,1,0.5,3.5,2,66.67,66.67,0.02,Y,1,2,2.5,1.5,4.5,0.5,1,0.5,0.5,0.5,N,1,N,1,3,N,1,Y,1
2348 海悅,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,75,100,0,N,0,0,2.5,0.5,0.5,0,0,0,0.5,1.5,N,1,N,1,7,N,1,Y,1
2442 新美齊,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,3,0,0,1,0,2,0,1,0,0.5,1.5,2,66.67,66.67,0,N,0,0,2,3,2.5,0.5,1,0.5,0.5,1,N,1,N,1,3,N,1,Y,1
2501 國建,202312  ,Current ,TSE,20231101,2022,Y,公共建設,不動產,2,0,1,0,3,0,0,1,1,3,0,0,0,0,0,5,61.9,66.67,0.46,Y,1,0,9,4,4,1,3,0,1,3,N,1,N,1,5,N,1,Y,1
2505 國揚,202312  ,Current ,TSE,20231101,2022,N,公共建設,房屋營造,0,0,0,0,0.5,0,0,0.5,0,1.5,0,0,0,0.5,0,1.5,100,66.67,0,N,0,0,4,0.5,1.5,0.5,0.5,0,0.5,1.5,N,1,N,1,7,N,1,Y,1
2506 太設,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,4,0,0,2.5,0,2.5,2,1,0,0.5,1,3,66.67,66.67,0,N,0,0,6,3,4.5,0.5,3,0.5,0.5,1.5,N,1,N,1,5,N,1,Y,1
2509 全坤建,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,1.5,66.67,66.67,0,N,0,0,0.5,0,0.5,0,1,0,0.5,1.5,N,1,N,1,6,N,1,Y,1
2511 太子,202312  ,Current ,TSE,20231101,2022,Y,公共建設,不動產,0,0,0,0,2,0,0,2,0,1,0,1,0,1,0,6,100,50,0,Y,1,2,11,1,5,0,1,0,1,3,N,1,N,1,3,N,1,Y,1
2514 龍邦,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,1.5,0,0,0.5,1,0,0,0,0,0.5,1,2.5,66.67,66.67,0,N,0,0,5,1.5,1,0.5,0,0,0.5,0.5,N,1,N,1,7,N,1,Y,1
2515 中工,202312  ,Current ,TSE,20231101,2022,Y,公共建設,工程與建造服務,0,1,0,0,5,0,0,0,1,0,2,2,0,0,0.5,5,66.67,100,0,N,0,3,12,2,4,0,0,0,1,3,N,1,N,1,2,Y,0,Y,1
2516 新建,202312  ,Current ,TSE,20231101,2022,N,公共建設,工程與建造服務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2.5,40,50,0.32,Y,1,2,6,1,2.5,0.5,1,0.5,0.5,1.5,N,1,N,1,7,N,1,Y,1
2520 冠德,202312  ,Current ,TSE,20231101,2022,Y,公共建設,不動產,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,5,66.67,66.67,0,N,0,1,0,0,5,1,0,0,1,3,N,1,N,1,3,N,1,Y,1
